absolute,absolutely
acero,maple
aĉeti,to buy
adapti,to adapt
adiaŭ,adieu
adiaŭ,farewell
adiaŭ,bye
adiaŭ,goodbye
adiaŭ,good-bye
aero,air
adjektivo,adjective
admiri,to admire
admirinda,admirable
adreso,address
adverbo,adverb
aeroplano,airplane
aeroplano,aeroplane
afabla,kind
afable,friendly
afero,matter
afero,affair
afero,thing
Afriko,Africa
agrabla,pleasant
agrabla,nice
agi,to act
agi,to take action
ago,act
ago,action
aĝo,age
aha,aha
aĥ,ah
aj,ouch
ajn,ever
akcento,accent
akcento,stress
akcepti,to accept
akcidento,accident
akordi,to agree
akvo,water
al,to
al,towards
aliĝi,to join
alveni,to arrive
alia,other
almenaŭ,at least
alta,high
alta,tall
ami,to love
ami,to like
ambaŭ,both
amiko,friend
Anglolando,England
Anglio,England
angla,English
angle,in English
angle,in the English way
Anglo,Englishperson
Anglo,Englishman
Anglujo,England
ankaŭ,also
ankaŭ,too
ankoraŭ,still
ankoraŭ,yet
anstataŭ,instead of
antaŭ,before
aparta,separate
apenaŭ,barely
apenaŭ,scarcely
aperi,to appear
aprilo,April
apud,beside
apud,near
arbo,tree
arto,art
asisti,to assist
atendi,to wait
atenta,attentive
atenta,careful
aŭ,or
aŭdi,to hear
aŭgusto,August
aŭskulti,to listen
aŭto,automobile
aŭto,car
aŭtobuso,bus
aŭtuno,autumn
aŭtono,fall
avo,grandfather
averto,warning
Azio,Asia
baldaŭ,soon
banĉambro,bathroom
banejo,bathroom
bani,to bathe
bati,to hit
bati,to beat
batali,to fight
bedaŭri,to be sorry
bedaŭrito,regret
bedo,bed
bela,beautiful
bela,lovely
besto,animal
besto,beast
bezoni,to need
bezoni,to require
biblioteko,library
biciklo,bicycle
biero,beer
bildo,picture
bildo,image
birdo,bird
bis,encore
bis,one more time
blanka,white
blua,blue
bona,good
bonvenigi,to welcome
bonvenigi,to greet
bonvenon,welcome
brako,arm
Brazilo,Brazil
Brasilo,Brasil
brili,to shine
brili,to be bright
Britio,Britain
Britio,Great Britain
Britujo,Britain
Britujo,Great Britain
brui,to make a noise
bruli,to burn
bruli,to be on fire
bruna,brown
buso,bus
buŝo,mouth
bv.,please
cedi,to cede
cedi,to give in
cedi,to give up
cedi,to give way
cedi,to relinquish
cedi,to yield
celi,to aim at
cent,hundred
centmil,hundred thousand
centro,centre
centro,center
certa,sure
certa,certain
certe,surely
certe,certainly
cetera,remaining
cetere,besides
cetere,for the rest
cetere,moreover
cetere,what's more
cirklo,circle
ĉambro,room
ĉapelo,hat
ĉagreni,to annoy
ĉagreni,to grieve
ĉagreni,to trouble
ĉagreni,to vex
ĉagreni,to worry
ĉar,because
ĉar,since
ĉe,at
ĉe,by
ĉi,indicates proximity
ĉia,all
ĉia,every kind of
ĉial,for every reason
ĉiam,always
ĉiam,ever
ĉie,everywhere
ĉiel,in every way
ĉielo,heaven
ĉielo,sky
ĉies,everyone's
ĉio,all
ĉio,everything
ĉina,Chinese
ĉinio,China
ĉinujo,China
ĉiom,all
ĉiom,all of it
ĉirkaŭ,around
ĉirkaŭ,approximately
ĉiu,each
ĉiu,every
ĉiuj,all
ĉokolado,chocolate
ĉu,whether
ĉu ne,isn't that so
ĉu ne,or not
d-ro,Dr
da,of
damne,damn
danci,to dance
danki,to thank
daŭri,to last
daŭri,to continue
daŭri,to go on
de,of
de,from
decidi,to decide
denove,again
denove,once more
denove,all over again
denove,anew
decembro,December
dek,ten
dekstra,right
dekstra,right-hand
demandi,to ask
demando,question
dento,tooth
dependi,to depend
devi,to have to
devi,must
deveni,to come
deveni,to derive
deveni,to originate
deveni,to result
deziri,to wish
deziri,to desire
dika,fat
dika,thick
dimanĉo,Sunday
diri,to say
direkto,direction
diversa,varied
do,therefore
do,so
do,then
doktoro,doctor
dolĉa,sweet
doloro,pain
domaĝe,that's too bad
domaĝe,what a pity
domo,house
domo,building
doni,to give
dormi,to sleep
dorso,back
du,two
dubi,to doubt
